Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2015-04-04,Gone Girl,2014,https://letterboxd.com/malantonio/film/gone-girl/,3.5,"digital, theater",2015-01-01
2015-04-04,Cocaine: One Man's Seduction,1983,https://letterboxd.com/malantonio/film/cocaine-one-mans-seduction/,2.5,"streaming, netflix",2015-01-03
2015-04-04,Sabotage,2014,https://letterboxd.com/malantonio/film/sabotage-2014/,3,"streaming, netflix",2015-01-04
2015-04-04,Batman Returns,1992,https://letterboxd.com/malantonio/film/batman-returns/,2.5,"streaming, netflix",2015-01-04
2015-04-04,Flashdance,1983,https://letterboxd.com/malantonio/film/flashdance/,4,"streaming, netflix",2015-01-09
2015-04-04,Scarface,1983,https://letterboxd.com/malantonio/film/scarface-1983/,4,"digital, theater",2015-01-10
2015-04-04,Guardians of the Galaxy,2014,https://letterboxd.com/malantonio/film/guardians-of-the-galaxy/,4,blu-ray,2015-01-14
2015-04-04,Friday the 13th Part III,1982,https://letterboxd.com/malantonio/film/friday-the-13th-part-iii/,3.5,"streaming, netflix",2015-01-15
2015-04-04,The Babadook,2014,https://letterboxd.com/malantonio/film/the-babadook/,4,download,2015-01-15
2015-04-04,Dawn Anna,2005,https://letterboxd.com/malantonio/film/dawn-anna/,3.5,,2015-01-15
2015-04-04,Dark Skies,2013,https://letterboxd.com/malantonio/film/dark-skies-2013/,3.5,"streaming, netflix",2015-01-16
2015-04-04,Whitney,2015,https://letterboxd.com/malantonio/film/film:246286/,3.5,"download, lifetime",2015-01-23
2015-01-30,The Thing,1982,https://letterboxd.com/malantonio/film/the-thing/,4.5,"dvd, streaming, netflix",2015-01-26
2015-01-30,Jodi Arias: Dirty Little Secret,2013,https://letterboxd.com/malantonio/film/jodi-arias-dirty-little-secret/,3,"lifetime, netflix, streaming",2015-01-27
2015-01-30,Cool Runnings,1993,https://letterboxd.com/malantonio/film/cool-runnings/,4,"streaming, netflix",2015-01-27
2015-02-07,The Town that Dreaded Sundown,2014,https://letterboxd.com/malantonio/film/the-town-that-dreaded-sundown-2014/,2,"netflix, streaming",2015-02-05
2015-03-03,Obvious Child,2014,https://letterboxd.com/malantonio/film/obvious-child/,4,"dvd, redbox",2015-02-27
2015-03-04,Shooter,2007,https://letterboxd.com/malantonio/film/shooter/,2,"streaming, netflix",2015-03-02
